accelX,accelY,accelZ,gyroX,gyroY,gyroZ,activity
896,144,16240,8,12,-4,0
992,92,16188,-9,-6,-9,0
972,104,16248,-3,2,-4,0
1036,116,16244,1,-1,-4,0
1064,100,16248,1,-1,-11,0
1028,272,16168,3,9,-9,0
900,84,16352,-10,22,-9,0
1024,136,16280,12,8,-2,0
916,80,16120,3,2,-4,0
932,104,16200,-5,23,1,0
1008,136,16332,4,5,-8,0
1056,136,16184,16,2,-4,0
1036,148,16204,-1,1,-3,0
984,124,16224,6,-8,-4,0
972,136,16264,11,1,-10,0
1052,140,16264,0,-2,-6,0
944,56,16044,8,9,-7,0
968,100,16060,1,1,-5,0
1008,160,16164,1,0,-7,0
1012,120,16208,2,-7,-3,0
1096,164,16184,2,9,-5,0
1032,216,16124,2,6,4,0
908,136,16156,21,17,-7,0
1016,56,16212,7,6,1,0
1068,112,16252,-2,4,-6,0
952,124,16248,-5,1,-8,0
1052,144,16224,-6,-15,3,0
1052,128,16112,0,7,-15,0
992,132,16068,-3,-8,-2,0
932,100,16220,14,31,-4,0
988,140,16200,2,-6,-9,0
992,140,16216,6,7,-6,0
924,148,16232,-2,11,-7,0
1052,128,16112,0,7,-15,0
992,132,16068,-3,-8,-2,0
932,100,16220,14,31,-4,0
988,140,16200,2,-6,-9,0
992,140,16216,6,7,-6,0
924,148,16232,-2,11,-7,0
1024,164,16208,8,4,-1,0
1024,216,16296,6,4,0,0
968,140,16188,10,-4,-2,0
1008,128,16172,7,6,-7,0
1032,176,16268,6,5,-6,0
932,104,16052,1,4,-15,0
964,172,16196,-11,4,-1,0
968,164,16220,8,-5,-8,0
1036,184,16132,0,-12,1,0
1300,204,15952,2,-24,-5,0
1020,152,16236,3,8,-4,0
960,104,16240,11,25,-1,0
1048,136,16272,-1,-2,-2,0
1008,108,16320,2,-10,-3,0
952,184,16224,-5,18,-1,0
952,148,16236,1,1,-1,0
984,92,16124,8,7,-13,0
1076,72,16184,7,10,0,0
1028,172,16264,6,7,-6,0
976,104,16276,-2,-6,-2,0
976,160,16332,7,1,-9,0
1012,156,16224,7,11,3,0
1028,72,16228,4,9,-3,0
992,188,16268,10,1,-3,0
784,60,16424,-2,13,-11,0
1072,236,16368,8,-3,-10,0
1080,228,16328,13,1,-2,0
956,108,16252,7,21,-11,0
968,144,16188,6,9,0,0
1012,80,16192,11,14,-5,0
996,192,16244,1,1,-1,0
1000,108,16256,15,12,-9,0
1024,104,16288,3,10,-4,0
1084,232,16232,3,9,-13,0
988,68,16112,8,-6,-1,0
804,168,16304,16,19,4,0
960,56,16340,-1,8,-5,0
944,144,16212,0,3,-6,0
964,56,16160,4,-2,2,0
1036,144,16180,5,6,-10,0
996,128,16256,4,3,-7,0
1028,196,16168,-3,6,-7,0
1004,160,16116,-2,0,-6,0
1004,148,16136,1,2,-9,0
1020,180,16276,9,3,-2,0
924,128,16208,-3,-4,-13,0
1012,72,16272,0,10,-3,0
980,180,16256,10,-1,-9,0
1004,96,16164,4,-1,-11,0
1000,160,16108,6,-1,-5,0
1036,152,16224,-2,3,-13,0
1048,148,16256,-10,0,-4,0
1120,100,16116,3,-9,4,0
984,200,16136,3,-1,-10,0
944,156,16132,5,16,-8,0
988,132,16156,3,-6,-9,0
1052,132,16152,2,2,-9,0
1024,128,16136,9,-5,-5,0
988,128,16240,-4,-2,-2,0
1000,140,16136,6,11,-4,0
972,168,16256,6,0,0,0
920,64,16336,-3,14,-3,0
920,64,16336,-3,14,-3,0
1068,176,16240,-3,7,-14,0
928,112,16332,15,9,-4,0
1028,116,16128,1,3,2,0
1016,208,16128,0,-4,-5,0
-428,-204,15848,-56,-5,8,0
-436,164,16284,16,-10,-5,0
-660,208,16296,5,14,-2,0
-704,196,16196,-27,17,4,0
-640,212,16048,11,7,-3,0
-612,92,16184,-6,4,7,0
-600,180,16100,-26,9,-6,0
-700,144,16112,3,13,9,0
-696,248,16144,-1,15,-5,0
-1004,68,16304,26,-18,13,0
-784,216,15936,-21,39,-23,0
-76,160,16024,68,-61,25,0
-648,140,16192,-3,9,3,0
-1016,128,16376,27,9,7,0
-532,204,16060,46,-11,3,0
-600,204,16256,8,-2,2,0
-560,268,16204,3,-5,7,0
-688,180,16152,27,4,3,0
-464,20,15936,-10,10,3,0
-624,224,16308,6,-2,10,0
-820,188,16220,16,26,4,0
-936,172,16204,-3,10,0,0
-520,204,15968,-8,-7,3,0
-600,228,16072,8,-10,-1,0
-228,176,15940,-16,-13,0,0
-564,160,16004,-5,-22,-5,0
-628,180,16072,-32,-5,-6,0
-812,116,16344,15,2,18,0
-852,100,16096,3,0,9,0
-920,20,16468,9,1,-2,0
-940,364,16340,63,-8,-6,0
-324,272,16160,46,-40,-5,0
-308,56,16140,-37,20,-7,0
-888,156,16112,19,22,-6,0
-824,76,16364,-13,37,-13,0
-588,532,15876,-28,7,-8,0
-1028,172,15976,-7,26,-6,0
